Billion,iso3,population,Share_N,Share_perc
UHC,MRT,5030233,838683.332892931,16.67
UHC,MUS,1275657,114680.26343151912,8.99
UHC,MWI,20728157,2218241.598054414,10.7
UHC,MYS,33579264,2515448.4796896046,7.49
UHC,"NAM",2680497,326779.2681442616,12.19
UHC,NER,27066230,3056696.473263788,11.29
UHC,NGA,222182400,45938078.15206575,20.68
UHC,NIC,6855178,1041417.6321695658,15.19
UHC,NIU,1619,114.51183080740577,7.07
UHC,NLD,17249269,1208111.8741093718,7
UHC,NOR,5558026,367412.213800537,6.61
UHC,NPL,30769709,4846851.865785293,15.75
UHC,NRU,10918,998.5649293258123,9.15
UHC,NZL,4934976,246575.710415869,5
UHC,OMN,5412488,683374.9525561848,12.63
UHC,PAK,233757257,37901030.50813294,16.21
UHC,PAN,4510970,410596.94939832436,9.1
UHC,PER,33966046,3257946.906061114,9.59
UHC,PHL,113964103,17891376.95362968,15.7
UHC,PLW,18281,1414.6260489232577,7.74
UHC,PNG,9466431,1325423.4540957117,14
UHC,POL,37674031,3675225.1397251543,9.76
UHC,PRK,26089814,1910929.6378445672,7.32
UHC,PRT,10114017,877249.6272593525,8.67
UHC,PRY,7391010,1152874.9060869296,15.6
UHC,QAT,3028940,336961.57124880975,11.12
UHC,ROU,18944132,1880411.0436295427,9.93
UHC,RUS,145628574,9020334.383083329,6.19
UHC,RWA,13924498,1806184.5589981836,12.97
UHC,SAU,36329422,3428913.338736643,9.44
UHC,SDN,47095255,7720522.782947459,16.39
UHC,SEN,18116526,2309724.3022076045,12.75
UHC,SGP,5990292,307746.8566861055,5.14
UHC,SLB,738416,111875.05969966191,15.15
UHC,SLE,8472212,1260797.553102053,14.88
UHC,SLV,6581790,770848.8541012558,11.71
UHC,SMR,34153,2737.3099046317257,8.01
UHC,SOM,17339387,2876021.766378275,16.59
UHC,SRB,8604998,793861.7049530718,9.23
UHC,SSD,11891023,1788470.1134955925,15.04
UHC,STP,232132,30737.65355260507,13.24
UHC,SUR,601750,75153.5548722154,12.49
UHC,SVK,5458099,300489.327797065,5.51
UHC,SVN,2076868,102490.49958683555,4.93
UHC,SWE,10275854,665540.223000581,6.48
UHC,SWZ,1197512,145128.27089081585,12.12
UHC,SYC,99912,7269.436360818695,7.28
UHC,SYR,20638284,3049412.5123240813,14.78
UHC,TCD,17921183,2394027.9221783336,13.36
UHC,TGO,8886635,1206321.4520949288,13.57
UHC,THA,70182829,5194086.511874552,7.4
UHC,TJK,10161632,1340423.0113023932,13.19
UHC,TKM,6283194,672530.8762549341,10.7
UHC,TLS,1395057,196644.7692121883,14.1
UHC,TON,108663,11019.910004288291,10.14
UHC,TTO,1409175,96521.31602094715,6.85
